person_id,prolific_id,phase,relevant,timestamp,interesting,know_better,like_chosen,diversity_high,differed_topics,fit_preferences,looking_forward,fitted_preferences,similar_to_each_other,sport,politikk,media_usage,news_source,media_access,mat_og_drikke,klima_og_miljo,livsstil_og_helse,helse_og_forskning,samfunn_og_arbeidsliv,okonomi_og_naeringsliv,teknologi_og_vitenskap,kriminalitet_og_rettssaker,underholdning_og_kjendiser,utenriks_og_globale_konflikter,num_clicks,percent_familiar,age,country,education,gender
117,66f90617499542a3ce331fa3,2,4,2025-06-22T06:22:44.922444+00:00,4,2,4,3,4,4,4,4,3,1,1,daily,social,"internet,smartphone,tablet",1,1,-1,1,1,-1,-1,1,1,1,3,100.0,over_55,GB,BA,Male
118,67266c0ecff4ab3acc3b5a54,1,5,2025-06-19T14:42:35.128720+00:00,5,2,5,5,5,5,5,5,1,1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,1,1,6,,b25_35,US,BA,Female
118,67266c0ecff4ab3acc3b5a54,2,5,2025-06-21T18:25:30.338758+00:00,5,3,5,5,5,5,5,5,1,1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,1,1,9,44.4,b25_35,US,BA,Female
119,6011d2b8b124c219f57c707e,1,5,2025-06-19T14:42:27.353526+00:00,5,2,5,3,4,5,5,5,4,-1,-1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,1,1,-1,1,1,1,-1,5,,b25_35,ZA,BA,Female
119,6011d2b8b124c219f57c707e,2,1,2025-06-21T20:59:56.305358+00:00,1,4,2,2,2,3,2,1,5,-1,-1,weekly,social,"internet,smartphone,tablet,streaming",1,-1,1,1,1,-1,1,1,1,-1,1,0.0,b25_35,ZA,BA,Female
120,5c4f5967aac8be0001716a65,1,4,2025-06-19T14:43:16.109669+00:00,3,1,2,3,2,4,3,3,2,1,-1,rarely,social,"internet,smartphone",1,1,1,1,1,-1,1,-1,1,-1,5,,b25_35,IE,BA,Male
120,5c4f5967aac8be0001716a65,2,4,2025-06-21T21:27:27.834913+00:00,3,4,3,4,4,3,4,3,4,1,-1,monthly,social,internet,1,1,1,1,1,1,1,1,1,-1,6,83.3,b25_35,IE,BA,Male
121,6843b5d3f7b85d456e8af6f0,1,5,2025-06-19T14:45:14.893654+00:00,5,3,5,3,5,5,5,5,3,1,1,daily,social,streaming,-1,1,1,1,1,1,1,1,-1,1,9,,b25_35,US,BA,Female
121,6843b5d3f7b85d456e8af6f0,2,5,2025-06-22T06:22:25.953175+00:00,5,3,4,4,4,5,5,5,3,1,1,daily,social,streaming,1,1,1,1,1,-1,1,1,1,1,12,83.3,b25_35,US,BA,Female
124,gloria_test,1,4,2025-06-21T12:46:59.983140+00:00,4,4,4,3,3,4,5,5,4,1,1,weekly,tv,smartphone,1,-1,1,-1,1,-1,1,-1,-1,1,8,,b25_35,AL,BA,Female
124,gloria_test,2,4,2025-06-21T12:47:52.667460+00:00,3,5,4,3,4,4,5,3,4,1,-1,monthly,radio,"tablet,streaming",-1,1,-1,-1,1,-1,1,1,1,1,2,50.0,b25_35,AL,BA,Female
